respondent,years_coding,years_coding_prof
14353,15-17 years,15-17 years
14355,9-11 years,3-5 years
14356,3-5 years,3-5 years
14359,15-17 years,9-11 years
14360,0-2 years,0-2 years
14361,9-11 years,6-8 years
14362,3-5 years,3-5 years
14363,6-8 years,NA
14364,0-2 years,NA
14365,3-5 years,NA
14367,12-14 years,12-14 years
14368,15-17 years,NA
14369,6-8 years,0-2 years
14370,9-11 years,6-8 years
14371,6-8 years,6-8 years
14372,6-8 years,3-5 years
14373,6-8 years,3-5 years
14374,3-5 years,NA
14375,6-8 years,6-8 years
14376,3-5 years,3-5 years
14377,3-5 years,3-5 years
14378,3-5 years,0-2 years
14379,3-5 years,NA
14380,9-11 years,NA
14383,3-5 years,0-2 years
14384,30 or more years,21-23 years
14385,21-23 years,12-14 years
14387,6-8 years,NA
14388,6-8 years,6-8 years
14389,15-17 years,9-11 years
14390,3-5 years,0-2 years
14391,3-5 years,NA
14392,3-5 years,0-2 years
14393,9-11 years,9-11 years
14394,9-11 years,6-8 years
14396,6-8 years,0-2 years
14397,12-14 years,6-8 years
14398,15-17 years,12-14 years
14399,6-8 years,3-5 years
14403,3-5 years,3-5 years
14404,21-23 years,18-20 years
14405,24-26 years,18-20 years
14407,12-14 years,9-11 years
14408,27-29 years,27-29 years
14410,6-8 years,3-5 years
14411,6-8 years,0-2 years
14412,3-5 years,3-5 years
14413,15-17 years,12-14 years
14414,0-2 years,NA
14418,30 or more years,24-26 years
14419,6-8 years,3-5 years
14420,30 or more years,30 or more years
14421,9-11 years,3-5 years
14422,3-5 years,0-2 years
14423,30 or more years,27-29 years
14424,6-8 years,3-5 years
14426,0-2 years,0-2 years
14428,3-5 years,0-2 years
14431,15-17 years,6-8 years
14432,15-17 years,15-17 years
14436,6-8 years,0-2 years
14437,6-8 years,0-2 years
14438,0-2 years,0-2 years
14441,15-17 years,15-17 years
14442,15-17 years,15-17 years
14443,3-5 years,0-2 years
14445,6-8 years,0-2 years
14446,18-20 years,18-20 years
14447,6-8 years,3-5 years
14448,3-5 years,3-5 years
14449,9-11 years,3-5 years
14451,0-2 years,0-2 years
14452,21-23 years,21-23 years
14454,3-5 years,3-5 years
14456,21-23 years,18-20 years
14458,18-20 years,15-17 years
14459,9-11 years,6-8 years
14460,6-8 years,NA
14461,12-14 years,9-11 years
14463,3-5 years,NA
14464,6-8 years,0-2 years
14466,21-23 years,18-20 years
14467,9-11 years,NA
14468,15-17 years,15-17 years
14469,15-17 years,12-14 years
14471,18-20 years,12-14 years
14472,12-14 years,NA
14473,3-5 years,0-2 years
14474,9-11 years,3-5 years
14476,3-5 years,0-2 years
14477,3-5 years,NA
14480,12-14 years,3-5 years
14482,12-14 years,9-11 years
14483,18-20 years,15-17 years
14485,12-14 years,9-11 years
14486,0-2 years,0-2 years
14487,3-5 years,0-2 years
14488,3-5 years,3-5 years
14489,15-17 years,9-11 years
14490,15-17 years,6-8 years
14491,9-11 years,9-11 years
14492,12-14 years,12-14 years
14493,18-20 years,18-20 years
14494,3-5 years,NA
14495,12-14 years,0-2 years
14496,9-11 years,9-11 years
14497,3-5 years,0-2 years
14498,18-20 years,NA
14499,6-8 years,3-5 years
14500,0-2 years,0-2 years
14502,3-5 years,0-2 years
14503,12-14 years,NA
14504,0-2 years,NA
14505,6-8 years,3-5 years
14506,15-17 years,9-11 years
14508,0-2 years,NA
14509,18-20 years,12-14 years
14510,6-8 years,3-5 years
14511,30 or more years,27-29 years
14513,9-11 years,6-8 years
14515,12-14 years,6-8 years
14516,15-17 years,12-14 years
14517,12-14 years,9-11 years
14518,12-14 years,0-2 years
14520,30 or more years,30 or more years
14522,21-23 years,NA
14524,3-5 years,3-5 years
14526,21-23 years,18-20 years
14527,3-5 years,0-2 years
14530,3-5 years,0-2 years
14531,3-5 years,3-5 years
14532,9-11 years,9-11 years
14534,6-8 years,0-2 years
14535,3-5 years,3-5 years
14539,3-5 years,NA
14540,6-8 years,NA
14542,3-5 years,NA
14544,3-5 years,0-2 years
14547,0-2 years,0-2 years
14549,27-29 years,27-29 years
14551,3-5 years,0-2 years
14552,9-11 years,6-8 years
14554,6-8 years,3-5 years
14555,3-5 years,NA
14556,12-14 years,9-11 years
14557,30 or more years,18-20 years
14558,0-2 years,0-2 years
14559,15-17 years,6-8 years
14560,3-5 years,6-8 years
14561,15-17 years,6-8 years
14562,3-5 years,3-5 years
14563,3-5 years,3-5 years
14564,0-2 years,0-2 years
14567,30 or more years,3-5 years
14568,6-8 years,0-2 years
14569,9-11 years,9-11 years
14570,12-14 years,9-11 years
14571,0-2 years,0-2 years
14572,6-8 years,3-5 years
14573,3-5 years,NA
14574,18-20 years,6-8 years
14575,12-14 years,9-11 years
14576,9-11 years,0-2 years
14577,3-5 years,0-2 years
14578,12-14 years,12-14 years
14583,24-26 years,NA
14584,30 or more years,30 or more years
14587,6-8 years,6-8 years
14590,0-2 years,NA
14591,3-5 years,NA
14592,12-14 years,6-8 years
14593,6-8 years,6-8 years
14594,3-5 years,0-2 years
14595,12-14 years,9-11 years
14597,21-23 years,12-14 years
14598,0-2 years,0-2 years
14599,0-2 years,0-2 years
14601,9-11 years,0-2 years
14602,6-8 years,6-8 years
14603,0-2 years,NA
14604,12-14 years,6-8 years
14605,30 or more years,30 or more years
14606,6-8 years,NA
14609,15-17 years,15-17 years
14610,6-8 years,0-2 years
14611,6-8 years,6-8 years
14612,9-11 years,NA
14613,6-8 years,3-5 years
14614,27-29 years,6-8 years
14616,3-5 years,0-2 years
14617,18-20 years,12-14 years
14618,21-23 years,24-26 years
14620,0-2 years,NA
14621,21-23 years,15-17 years
14622,15-17 years,6-8 years
14627,0-2 years,0-2 years
14628,3-5 years,3-5 years
14629,15-17 years,9-11 years
14630,6-8 years,NA
14631,18-20 years,15-17 years
14634,0-2 years,0-2 years
14635,9-11 years,9-11 years
14636,24-26 years,24-26 years
14638,9-11 years,6-8 years
14640,12-14 years,12-14 years
14641,12-14 years,9-11 years
14642,12-14 years,NA
14643,3-5 years,3-5 years
14644,0-2 years,NA
14645,6-8 years,0-2 years
14647,0-2 years,0-2 years
14648,0-2 years,NA
14650,0-2 years,0-2 years
14652,18-20 years,6-8 years
14653,0-2 years,NA
14654,9-11 years,9-11 years
14656,6-8 years,6-8 years
14657,6-8 years,3-5 years
14660,3-5 years,0-2 years
14665,18-20 years,3-5 years
14667,3-5 years,6-8 years
14668,30 or more years,30 or more years
14669,21-23 years,9-11 years
14670,9-11 years,6-8 years
14672,3-5 years,3-5 years
14673,3-5 years,3-5 years
14674,3-5 years,3-5 years
14675,18-20 years,18-20 years
14679,3-5 years,3-5 years
14680,12-14 years,6-8 years
14681,6-8 years,NA
14682,6-8 years,6-8 years
14684,9-11 years,6-8 years
14685,9-11 years,NA
14686,15-17 years,12-14 years
14687,12-14 years,NA
14688,3-5 years,3-5 years
14689,9-11 years,9-11 years
14690,0-2 years,NA
14691,6-8 years,6-8 years
14693,0-2 years,0-2 years
14694,9-11 years,0-2 years
14695,30 or more years,30 or more years
14696,6-8 years,3-5 years
14697,3-5 years,0-2 years
14698,9-11 years,6-8 years
14699,6-8 years,0-2 years
14700,18-20 years,3-5 years
14703,6-8 years,0-2 years
14705,24-26 years,24-26 years
14706,6-8 years,3-5 years
14707,9-11 years,3-5 years
14710,15-17 years,9-11 years
14711,24-26 years,18-20 years
14712,18-20 years,12-14 years
14713,30 or more years,30 or more years
14717,3-5 years,3-5 years
14718,6-8 years,3-5 years
14719,9-11 years,6-8 years
14720,3-5 years,NA
14721,6-8 years,NA
14722,3-5 years,NA
14724,3-5 years,0-2 years
14729,6-8 years,NA
14730,9-11 years,3-5 years
14732,3-5 years,3-5 years
14733,9-11 years,3-5 years
14734,6-8 years,3-5 years
14735,24-26 years,21-23 years
14736,12-14 years,NA
14737,6-8 years,6-8 years
14738,3-5 years,NA
14739,6-8 years,0-2 years
14740,30 or more years,21-23 years
14741,18-20 years,18-20 years
14742,6-8 years,0-2 years
14747,15-17 years,15-17 years
14748,0-2 years,0-2 years
14750,15-17 years,15-17 years
14751,3-5 years,0-2 years
14752,9-11 years,9-11 years
14753,3-5 years,3-5 years
14754,6-8 years,NA
14755,3-5 years,0-2 years
14757,12-14 years,3-5 years
14759,30 or more years,18-20 years
14760,3-5 years,0-2 years
14761,6-8 years,6-8 years
14767,3-5 years,3-5 years
14769,3-5 years,3-5 years
14770,15-17 years,12-14 years
14772,21-23 years,12-14 years
14776,12-14 years,12-14 years
14778,3-5 years,3-5 years
14780,12-14 years,6-8 years
14781,6-8 years,6-8 years
14782,3-5 years,0-2 years
14785,30 or more years,21-23 years
14786,3-5 years,3-5 years
14787,12-14 years,6-8 years
14788,24-26 years,21-23 years
14790,12-14 years,3-5 years
14792,3-5 years,3-5 years
14793,24-26 years,9-11 years
14796,30 or more years,3-5 years
14800,6-8 years,0-2 years
14802,3-5 years,3-5 years
14803,3-5 years,NA
14804,3-5 years,3-5 years
14806,0-2 years,NA
14807,0-2 years,NA
14808,3-5 years,3-5 years
14809,6-8 years,3-5 years
14810,6-8 years,6-8 years
14811,6-8 years,6-8 years
14812,3-5 years,3-5 years
14814,15-17 years,9-11 years
14815,3-5 years,3-5 years
14816,6-8 years,3-5 years
14817,18-20 years,NA
14821,3-5 years,3-5 years
14822,6-8 years,6-8 years
14823,15-17 years,NA
14825,9-11 years,3-5 years
14828,3-5 years,NA
14829,0-2 years,0-2 years
14830,6-8 years,3-5 years
14831,9-11 years,9-11 years
14832,12-14 years,3-5 years
14834,3-5 years,3-5 years
14835,3-5 years,3-5 years
14836,12-14 years,6-8 years
14837,3-5 years,3-5 years
14838,15-17 years,3-5 years
14839,18-20 years,18-20 years
14840,30 or more years,30 or more years
14841,30 or more years,30 or more years
14842,6-8 years,6-8 years
14844,18-20 years,12-14 years
14845,30 or more years,30 or more years
14846,3-5 years,3-5 years
14847,18-20 years,15-17 years
14848,9-11 years,6-8 years
14851,3-5 years,NA
14852,0-2 years,NA
14853,3-5 years,NA
14854,30 or more years,30 or more years
14857,6-8 years,3-5 years
14858,3-5 years,0-2 years
14860,6-8 years,0-2 years
14861,NA,0-2 years
14862,6-8 years,6-8 years
14864,6-8 years,0-2 years
14865,3-5 years,3-5 years
14866,12-14 years,9-11 years
14867,6-8 years,6-8 years
14869,30 or more years,21-23 years
14870,21-23 years,12-14 years
14871,21-23 years,12-14 years
14873,3-5 years,0-2 years
14874,3-5 years,3-5 years
14875,12-14 years,12-14 years
14876,9-11 years,NA
14877,12-14 years,NA
14879,15-17 years,15-17 years
14880,3-5 years,3-5 years
14881,9-11 years,9-11 years
14883,6-8 years,3-5 years
14884,6-8 years,6-8 years
14885,12-14 years,NA
14887,30 or more years,21-23 years
14888,3-5 years,3-5 years
14891,0-2 years,NA
14892,12-14 years,9-11 years
14893,9-11 years,6-8 years
14894,24-26 years,NA
14896,6-8 years,0-2 years
14899,0-2 years,0-2 years
14900,15-17 years,15-17 years
14901,18-20 years,18-20 years
14902,27-29 years,24-26 years
14903,3-5 years,3-5 years
14904,6-8 years,3-5 years
14905,0-2 years,NA
14906,21-23 years,18-20 years
14907,9-11 years,NA
14909,3-5 years,NA
14912,21-23 years,21-23 years
14913,18-20 years,NA
14914,18-20 years,9-11 years
14915,12-14 years,6-8 years
14916,0-2 years,NA
14919,9-11 years,6-8 years
14921,0-2 years,3-5 years
14922,9-11 years,9-11 years
14923,6-8 years,6-8 years
14924,3-5 years,3-5 years
14927,9-11 years,3-5 years
14930,0-2 years,0-2 years
14931,12-14 years,9-11 years
14934,6-8 years,3-5 years
14937,3-5 years,NA
14939,30 or more years,9-11 years
14940,3-5 years,NA
14942,6-8 years,0-2 years
14943,6-8 years,0-2 years
14944,6-8 years,NA
14946,6-8 years,3-5 years
14947,6-8 years,3-5 years
14948,9-11 years,NA
14950,0-2 years,0-2 years
14953,9-11 years,3-5 years
14954,24-26 years,9-11 years
14955,27-29 years,27-29 years
14957,18-20 years,12-14 years
14958,6-8 years,3-5 years
14959,6-8 years,NA
14960,9-11 years,6-8 years
14961,6-8 years,3-5 years
14962,6-8 years,3-5 years
14963,12-14 years,3-5 years
14966,30 or more years,30 or more years
14967,3-5 years,0-2 years
14968,12-14 years,9-11 years
14969,0-2 years,NA
14970,6-8 years,0-2 years
14972,12-14 years,12-14 years
14975,24-26 years,15-17 years
14977,3-5 years,0-2 years
14978,6-8 years,0-2 years
14979,6-8 years,0-2 years
14980,15-17 years,12-14 years
14981,0-2 years,NA
14982,0-2 years,0-2 years
14983,3-5 years,3-5 years
14984,3-5 years,0-2 years
14985,6-8 years,3-5 years
14987,6-8 years,NA
14988,18-20 years,15-17 years
14990,0-2 years,0-2 years
14991,9-11 years,6-8 years
14992,3-5 years,0-2 years
14994,3-5 years,NA
14995,9-11 years,9-11 years
14996,3-5 years,0-2 years
14997,6-8 years,6-8 years
14998,0-2 years,0-2 years
14999,15-17 years,9-11 years
15000,6-8 years,6-8 years
15002,0-2 years,NA
15005,30 or more years,30 or more years
15006,6-8 years,3-5 years
15008,18-20 years,9-11 years
15009,6-8 years,0-2 years
15011,6-8 years,3-5 years
15012,27-29 years,15-17 years
15013,0-2 years,0-2 years
15015,3-5 years,3-5 years
15016,3-5 years,0-2 years
15018,6-8 years,3-5 years
15019,21-23 years,12-14 years
15020,6-8 years,3-5 years
15021,30 or more years,18-20 years
15022,6-8 years,0-2 years
15023,12-14 years,3-5 years
15024,9-11 years,0-2 years
15025,3-5 years,0-2 years
15026,6-8 years,3-5 years
15027,15-17 years,6-8 years
15028,3-5 years,0-2 years
15030,3-5 years,0-2 years
15031,6-8 years,3-5 years
15033,6-8 years,6-8 years
15034,18-20 years,15-17 years
15035,3-5 years,0-2 years
15036,0-2 years,0-2 years
15037,6-8 years,0-2 years
15038,3-5 years,0-2 years
15039,0-2 years,0-2 years
15042,6-8 years,0-2 years
15043,6-8 years,3-5 years
15044,6-8 years,6-8 years
15045,3-5 years,3-5 years
15047,9-11 years,6-8 years
15048,9-11 years,9-11 years
15049,3-5 years,3-5 years
15051,6-8 years,3-5 years
15052,9-11 years,9-11 years
15053,12-14 years,3-5 years
15055,3-5 years,NA
15056,15-17 years,12-14 years
15057,3-5 years,0-2 years
15058,6-8 years,6-8 years
15059,6-8 years,NA
15061,6-8 years,0-2 years
15064,3-5 years,NA
15065,6-8 years,3-5 years
15066,18-20 years,15-17 years
15067,18-20 years,12-14 years
15069,9-11 years,6-8 years
15070,18-20 years,9-11 years
15071,18-20 years,15-17 years
15074,15-17 years,6-8 years
15075,3-5 years,0-2 years
15076,18-20 years,18-20 years
15077,15-17 years,12-14 years
15079,15-17 years,9-11 years
15081,6-8 years,NA
15082,21-23 years,18-20 years
15085,0-2 years,0-2 years
15088,6-8 years,3-5 years
15089,9-11 years,9-11 years
15092,6-8 years,6-8 years
15093,3-5 years,0-2 years
15094,3-5 years,3-5 years
15097,6-8 years,6-8 years
15098,15-17 years,12-14 years
15099,0-2 years,0-2 years
15100,12-14 years,3-5 years
15101,18-20 years,15-17 years
15102,0-2 years,NA
15103,6-8 years,0-2 years
15104,12-14 years,9-11 years
15106,12-14 years,NA
15107,12-14 years,9-11 years
15108,0-2 years,NA
15109,15-17 years,12-14 years
15110,9-11 years,NA
15111,9-11 years,NA
15113,9-11 years,0-2 years
15114,6-8 years,0-2 years
15115,6-8 years,6-8 years
15116,3-5 years,3-5 years
15117,15-17 years,12-14 years
15118,3-5 years,3-5 years
15121,6-8 years,3-5 years
15122,3-5 years,0-2 years
15123,15-17 years,NA
15124,21-23 years,12-14 years
15125,3-5 years,3-5 years
15127,6-8 years,3-5 years
15128,6-8 years,0-2 years
15133,30 or more years,27-29 years
15134,9-11 years,6-8 years
15136,6-8 years,0-2 years
15138,3-5 years,NA
15141,6-8 years,3-5 years
15143,18-20 years,15-17 years
15144,3-5 years,3-5 years
15145,9-11 years,3-5 years
15146,15-17 years,15-17 years
15147,3-5 years,3-5 years
15150,30 or more years,30 or more years
15151,6-8 years,0-2 years
15152,9-11 years,6-8 years
15153,3-5 years,3-5 years
15154,3-5 years,NA
15157,6-8 years,NA
15158,3-5 years,NA
15159,6-8 years,0-2 years
15160,6-8 years,6-8 years
15161,12-14 years,12-14 years
15163,9-11 years,0-2 years
15165,9-11 years,6-8 years
15166,3-5 years,3-5 years
15167,15-17 years,15-17 years
15168,3-5 years,0-2 years
15170,18-20 years,12-14 years
15171,30 or more years,30 or more years
15173,3-5 years,0-2 years
15174,3-5 years,3-5 years
15176,3-5 years,3-5 years
15177,3-5 years,0-2 years
15178,12-14 years,9-11 years
15179,0-2 years,0-2 years
15181,3-5 years,0-2 years
15182,6-8 years,3-5 years
15184,3-5 years,NA
15185,18-20 years,12-14 years
15186,12-14 years,3-5 years
15188,18-20 years,18-20 years
15190,3-5 years,3-5 years
15192,6-8 years,0-2 years
15193,6-8 years,NA
15195,9-11 years,9-11 years
15196,15-17 years,12-14 years
15198,6-8 years,6-8 years
15199,30 or more years,27-29 years
15200,9-11 years,6-8 years
15201,18-20 years,18-20 years
15202,18-20 years,9-11 years
15204,15-17 years,NA
15205,3-5 years,0-2 years
15206,3-5 years,0-2 years
15207,0-2 years,NA
15208,18-20 years,15-17 years
15209,18-20 years,NA
15211,12-14 years,NA
15212,6-8 years,0-2 years
15213,9-11 years,6-8 years
15214,3-5 years,3-5 years
15215,15-17 years,6-8 years
15216,6-8 years,6-8 years
15218,9-11 years,9-11 years
15219,27-29 years,15-17 years
15220,6-8 years,NA
15222,15-17 years,6-8 years
15223,12-14 years,12-14 years
15225,6-8 years,6-8 years
15227,3-5 years,3-5 years
15228,12-14 years,15-17 years
15230,9-11 years,0-2 years
15231,3-5 years,3-5 years
15233,6-8 years,6-8 years
15234,6-8 years,0-2 years
15236,18-20 years,9-11 years
15238,24-26 years,3-5 years
15239,12-14 years,9-11 years
15240,3-5 years,0-2 years
15242,3-5 years,NA
15243,12-14 years,0-2 years
15244,6-8 years,3-5 years
15245,6-8 years,0-2 years
15246,3-5 years,0-2 years
15247,6-8 years,3-5 years
15249,0-2 years,0-2 years
15251,3-5 years,0-2 years
15252,6-8 years,NA
15253,6-8 years,3-5 years
15254,9-11 years,3-5 years
15255,0-2 years,0-2 years
15256,3-5 years,NA
15261,9-11 years,6-8 years
15263,18-20 years,15-17 years
15264,18-20 years,15-17 years
15265,6-8 years,0-2 years
15269,6-8 years,3-5 years
15270,9-11 years,6-8 years
15271,3-5 years,3-5 years
15272,3-5 years,0-2 years
15273,0-2 years,0-2 years
15274,9-11 years,3-5 years
15276,30 or more years,30 or more years
15277,3-5 years,0-2 years
15278,9-11 years,0-2 years
15279,3-5 years,0-2 years
15280,9-11 years,NA
15281,6-8 years,6-8 years
15283,15-17 years,6-8 years
15284,6-8 years,0-2 years
15285,6-8 years,3-5 years
15286,27-29 years,27-29 years
15287,9-11 years,3-5 years
15288,15-17 years,3-5 years
15291,15-17 years,15-17 years
15292,6-8 years,NA
15294,3-5 years,0-2 years
15296,3-5 years,3-5 years
15297,9-11 years,0-2 years
15299,3-5 years,3-5 years
15300,18-20 years,NA
15301,9-11 years,6-8 years
15302,6-8 years,3-5 years
15303,21-23 years,9-11 years
15307,6-8 years,0-2 years
15308,12-14 years,NA
15309,0-2 years,0-2 years
15312,24-26 years,21-23 years
15313,21-23 years,15-17 years
15314,3-5 years,0-2 years
15315,6-8 years,3-5 years
15316,6-8 years,6-8 years
15317,3-5 years,0-2 years
15318,3-5 years,3-5 years
15319,6-8 years,0-2 years
15320,18-20 years,9-11 years
15321,3-5 years,0-2 years
15323,12-14 years,NA
15324,18-20 years,15-17 years
15325,3-5 years,0-2 years
15326,6-8 years,6-8 years
15327,6-8 years,3-5 years
15328,6-8 years,3-5 years
15329,9-11 years,9-11 years
15330,12-14 years,NA
15331,9-11 years,0-2 years
15332,12-14 years,9-11 years
15333,9-11 years,3-5 years
15335,6-8 years,3-5 years
15336,0-2 years,0-2 years
15339,9-11 years,3-5 years
15340,3-5 years,0-2 years
15342,3-5 years,NA
15343,9-11 years,6-8 years
15344,18-20 years,12-14 years
15346,9-11 years,NA
15347,3-5 years,3-5 years
15348,3-5 years,0-2 years
15349,6-8 years,0-2 years
15353,15-17 years,9-11 years
15355,15-17 years,15-17 years
15356,18-20 years,NA
15357,6-8 years,6-8 years
15359,15-17 years,6-8 years
15360,18-20 years,12-14 years
15361,6-8 years,6-8 years
15362,6-8 years,0-2 years
15366,3-5 years,3-5 years
15367,15-17 years,9-11 years
15368,3-5 years,0-2 years
15369,30 or more years,18-20 years
15370,3-5 years,0-2 years
15372,15-17 years,15-17 years
15373,18-20 years,9-11 years
15374,6-8 years,0-2 years
15375,3-5 years,3-5 years
15376,6-8 years,6-8 years
15377,30 or more years,30 or more years
15379,3-5 years,NA
15380,0-2 years,NA
15381,12-14 years,3-5 years
15382,0-2 years,0-2 years
15383,3-5 years,3-5 years
15385,3-5 years,3-5 years
15386,9-11 years,3-5 years
15387,30 or more years,24-26 years
15388,3-5 years,3-5 years
15389,12-14 years,12-14 years
15391,0-2 years,0-2 years
15392,9-11 years,6-8 years
15393,3-5 years,0-2 years
15394,21-23 years,18-20 years
15395,12-14 years,3-5 years
15396,6-8 years,NA
15399,12-14 years,3-5 years
15400,30 or more years,21-23 years
15401,6-8 years,NA
15404,24-26 years,9-11 years
15405,12-14 years,9-11 years
15406,0-2 years,3-5 years
15407,18-20 years,9-11 years
15408,6-8 years,NA
15409,6-8 years,3-5 years
15411,21-23 years,3-5 years
15413,15-17 years,9-11 years
15414,12-14 years,0-2 years
15415,6-8 years,3-5 years
15416,12-14 years,6-8 years
15419,15-17 years,15-17 years
15420,3-5 years,3-5 years
15421,30 or more years,NA
15422,21-23 years,NA
15423,9-11 years,6-8 years
15425,15-17 years,6-8 years
15426,6-8 years,6-8 years
15428,24-26 years,18-20 years
15429,6-8 years,0-2 years
15430,6-8 years,3-5 years
15432,3-5 years,0-2 years
15433,6-8 years,6-8 years
15434,15-17 years,6-8 years
15435,12-14 years,0-2 years
15436,9-11 years,3-5 years
15439,6-8 years,6-8 years
15440,15-17 years,9-11 years
15441,3-5 years,0-2 years
15442,18-20 years,12-14 years
15443,6-8 years,6-8 years
15444,24-26 years,24-26 years
15448,30 or more years,NA
15449,6-8 years,6-8 years
15450,18-20 years,9-11 years
15451,6-8 years,0-2 years
15452,9-11 years,3-5 years
15455,6-8 years,3-5 years
15458,6-8 years,3-5 years
15460,0-2 years,NA
15461,3-5 years,0-2 years
15462,3-5 years,0-2 years
15463,9-11 years,6-8 years
15467,3-5 years,0-2 years
15469,12-14 years,9-11 years
15471,9-11 years,3-5 years
15472,12-14 years,6-8 years
15474,3-5 years,0-2 years
15475,0-2 years,NA
15480,21-23 years,12-14 years
15481,3-5 years,3-5 years
15482,15-17 years,6-8 years
15483,6-8 years,3-5 years
15485,18-20 years,6-8 years
15486,9-11 years,12-14 years
15487,9-11 years,3-5 years
15489,0-2 years,0-2 years
15490,24-26 years,12-14 years
15493,15-17 years,6-8 years
15494,30 or more years,30 or more years
15495,0-2 years,0-2 years
15497,9-11 years,9-11 years
15498,3-5 years,NA
15500,0-2 years,0-2 years
15501,12-14 years,NA
15502,0-2 years,0-2 years
15503,3-5 years,0-2 years
15504,0-2 years,0-2 years
15506,12-14 years,12-14 years
15507,15-17 years,15-17 years
15508,3-5 years,0-2 years
15509,6-8 years,0-2 years
15512,24-26 years,21-23 years
15513,6-8 years,3-5 years
15514,9-11 years,3-5 years
15515,9-11 years,9-11 years
15517,24-26 years,12-14 years
15519,6-8 years,NA
15520,30 or more years,21-23 years
15521,0-2 years,NA
15522,3-5 years,3-5 years
15523,3-5 years,0-2 years
15524,6-8 years,3-5 years
15525,6-8 years,6-8 years
15526,3-5 years,3-5 years
15529,9-11 years,3-5 years
15531,3-5 years,NA
15532,9-11 years,3-5 years
15536,6-8 years,NA
15538,6-8 years,3-5 years
15541,0-2 years,0-2 years
15542,15-17 years,9-11 years
15543,9-11 years,6-8 years
15544,3-5 years,NA
15545,12-14 years,NA
15546,15-17 years,3-5 years
15547,3-5 years,0-2 years
15548,6-8 years,3-5 years
15549,3-5 years,0-2 years
15550,6-8 years,6-8 years
15551,6-8 years,3-5 years
15552,3-5 years,3-5 years
15553,0-2 years,0-2 years
15555,9-11 years,9-11 years
15556,6-8 years,3-5 years
15557,18-20 years,9-11 years
15558,6-8 years,NA
15559,3-5 years,3-5 years
15560,9-11 years,6-8 years
15561,18-20 years,12-14 years
15562,3-5 years,3-5 years
15563,12-14 years,6-8 years
15564,12-14 years,3-5 years
15566,0-2 years,0-2 years
15571,18-20 years,18-20 years
15572,3-5 years,0-2 years
15573,15-17 years,15-17 years
15574,9-11 years,6-8 years
15577,12-14 years,9-11 years
15579,21-23 years,15-17 years
15581,6-8 years,3-5 years
15582,6-8 years,3-5 years
15583,6-8 years,NA
15584,9-11 years,6-8 years
15585,0-2 years,0-2 years
15586,9-11 years,NA
15587,6-8 years,NA
15588,3-5 years,0-2 years
15589,0-2 years,NA
15591,3-5 years,3-5 years
15595,9-11 years,9-11 years
15596,3-5 years,6-8 years
15597,21-23 years,21-23 years
15598,30 or more years,18-20 years
15603,9-11 years,9-11 years
15604,18-20 years,9-11 years
15606,24-26 years,NA
15607,30 or more years,21-23 years
15609,3-5 years,0-2 years
15611,12-14 years,12-14 years
15612,3-5 years,3-5 years
15615,6-8 years,0-2 years
15616,9-11 years,3-5 years
15617,9-11 years,NA
15618,9-11 years,3-5 years
15619,9-11 years,9-11 years
15620,3-5 years,3-5 years
15622,18-20 years,9-11 years
15623,15-17 years,15-17 years
15624,3-5 years,0-2 years
15627,18-20 years,12-14 years
15628,6-8 years,0-2 years
15629,6-8 years,3-5 years
15630,3-5 years,3-5 years
15632,3-5 years,3-5 years
15633,6-8 years,0-2 years
15634,3-5 years,0-2 years
15635,15-17 years,12-14 years
15638,12-14 years,12-14 years
15641,12-14 years,NA
15642,6-8 years,6-8 years
15644,6-8 years,6-8 years
15646,3-5 years,0-2 years
15648,3-5 years,NA
15649,3-5 years,0-2 years
15650,12-14 years,9-11 years
15651,18-20 years,18-20 years
15652,9-11 years,9-11 years
15653,6-8 years,6-8 years
15654,6-8 years,3-5 years
15655,6-8 years,6-8 years
15656,3-5 years,0-2 years
15657,0-2 years,0-2 years
15658,30 or more years,30 or more years
15659,3-5 years,NA
15660,0-2 years,0-2 years
15661,3-5 years,0-2 years
15663,6-8 years,NA
15664,30 or more years,30 or more years
15665,18-20 years,9-11 years
15666,30 or more years,6-8 years
15667,3-5 years,3-5 years
15668,30 or more years,0-2 years
15669,6-8 years,6-8 years
15670,30 or more years,27-29 years
15671,15-17 years,12-14 years
15672,6-8 years,3-5 years
15673,6-8 years,3-5 years
15675,15-17 years,NA
15676,3-5 years,3-5 years
15677,0-2 years,0-2 years
15679,3-5 years,3-5 years
15680,6-8 years,3-5 years
15681,15-17 years,9-11 years
15682,15-17 years,12-14 years
15683,6-8 years,6-8 years
15685,6-8 years,3-5 years
15688,3-5 years,NA
15689,12-14 years,6-8 years
15690,15-17 years,3-5 years
15692,12-14 years,9-11 years
15695,3-5 years,0-2 years
15698,30 or more years,NA
15700,9-11 years,6-8 years
15701,12-14 years,9-11 years
15702,3-5 years,NA
15704,6-8 years,6-8 years
15705,18-20 years,NA
15706,3-5 years,NA
15707,6-8 years,3-5 years
15708,3-5 years,3-5 years
15709,0-2 years,0-2 years
15712,3-5 years,3-5 years
15714,3-5 years,6-8 years
15715,6-8 years,6-8 years
15716,6-8 years,6-8 years
15717,21-23 years,21-23 years
15718,6-8 years,3-5 years
15719,3-5 years,3-5 years
15720,6-8 years,3-5 years
15721,18-20 years,6-8 years
15722,3-5 years,0-2 years
15724,3-5 years,NA
15725,3-5 years,NA
15731,3-5 years,NA
